parameter,value
subsample,1.0
reg_lambda,1.0
reg_alpha,0.0
n_estimators,100.0
min_child_weight,1.0
max_depth,6.0
learning_rate,0.3
gamma,0.0
colsample_bytree,1.0
colsample_bynode,1.0
colsample_bylevel,1.0
