,precision,recall,f1-score,support
0,0.5346534653465347,0.5192307692307693,0.526829268292683,104.0
1,0.5535714285714286,0.5688073394495413,0.5610859728506787,109.0
accuracy,0.5446009389671361,0.5446009389671361,0.5446009389671361,0.5446009389671361
macro avg,0.5441124469589816,0.5440190543401553,0.5439576205716808,213.0
weighted avg,0.5443344887808701,0.5446009389671361,0.5443596945688405,213.0
