,mean_train_roc_auc,mean_train_balanced_accuracy,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_CV_roc_auc,std_CV_roc_auc,mean_CV_balanced_accuracy,std_CV_balanced_accuracy,mean_CV_accuracy,std_CV_accuracy,mean_CV_precision,std_CV_precision,mean_CV_recall,std_CV_recall,mean_CV_f1,std_CV_f1
Random Forest (train),0.9898,0.9516,0.9517,0.9516,0.9538,0.9527,,,,,,,,,,,,
Random Forest (CV),,,,,,,0.4973,0.0374,0.4891,0.0325,0.4906,0.0322,0.4884,0.0341,0.4891,0.0325,0.4864,0.0343
