,mean_train_roc_auc,mean_train_balanced_accuracy,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,mean_CV_roc_auc,std_CV_roc_auc,mean_CV_balanced_accuracy,std_CV_balanced_accuracy,mean_CV_accuracy,std_CV_accuracy,mean_CV_precision,std_CV_precision,mean_CV_recall,std_CV_recall,mean_CV_f1,std_CV_f1
XGBoost (train),0.9923,0.9554,0.9552,0.9647,0.9469,0.9557,,,,,,,,,,,,
XGBoost (CV),,,,,,,0.5003,0.0373,0.5057,0.0169,0.5059,0.017,0.5057,0.0169,0.5057,0.0169,0.5053,0.017
