,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1
random_forest,0.4965,0.0177,0.4953,0.0174,0.495,0.017,0.4919,0.0142
xgboost,0.533,0.0165,0.5327,0.0163,0.5325,0.0161,0.532,0.0157
